Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_WURTH_79527141-C_1x2032,1,Battery_Cell_CR2032,79527141
"C1, C18, C2, C21, C41, C43",1206,6,10uF,GRT31CR61H106ME01L
"C11, C13, C14, C15, C20, C23, C24, C29, C31, C32, C34, C35, C36, C37, C38, C4, C42, C6, C8",0603,19,100nF,CL10B104KB8NNNC
"C12, C22, C9",1206,3,47uF,GRT31CR61A476KE13L
"C16, C30",1206,2,10uF,CL31B106KBHNNNE
"C17, C19, C39, C40",0603,4,1uF,CL10B105KA8NNNC
"C25, C26, C27, C28",0603,4,10nF,CL10B103KB8NNNC
C3,0603,1,22nF,CL10B223KB8WPNC
C44,0603,1,1nF,CL10B102KB8NNNC
"C45, C46",0402,2,7pF,06035A7R0CAT2A
C5,0603,1,47pF,885012006055
C7,0402,1,4.7nF,0402B472K500NT
"D1, D14, D20, D24, D31, D4, D8, D9",D_SOD-123,8,Zener_6V,MMSZ5233B-E3-08
"D10, D11, D16, D6",SOT-23,4,BAT54S,"BAT54S,235"
D13,D_SMB,1,SMBJ30CA,SMBJ30CA
"D15, D17, D2, D21, D22, D25, D26, D27, D28, D29, D32, D33",SOT-23,12,PESD3V3L2BT,"PESD3V3L2BT,215"
"D18, D3",D_SOD-123,2,B5819W,B5819W
"D19, D5",D_SOD-882,2,SP3205-01ETG,SP3205-01ETG
"D23, D30, D35",SOT-23,3,TVS_2-Channel-7V,CDSOT23-SM712
D7,D_SMA,1,B220AF-13,B220AF-13
FL1,ChokeSMD_ACM7060,1,ACM7060-701-2PL-TL01,ACM7060-701-2PL-TL01
J1,USB4105-GF-A,1,USB4105-GF-A,USB4105-GF-A
J2,WURTH-691312510005,1,1x05,691312510005
J3,PinHeader_2x20_P2.54mm_Vertical,1,Conn_02x20_Odd_Even,10129381-940002BLF
J5,WURTH-691312510003,1,01x03,691312510003
J6,WURTH-691312510002,1,1x02,691312510002
L1,Inductor_Wurth_XHMI-6060,1,10μH-5A,74439346100
L2,Inductor_Wurth_LQS-6045,1,1.8μH-5.8A,74404064018
"MH1, MH2, MH3, MH4",MountingHole_3.2mm_M3,4,MH,
"Q1, Q2, Q5, Q7",SOT-523,4,2N7002T-7-F,2N7002T-7-F
Q10,SOT-23,1,DMN67D8L-7,DMN67D8L-7
"Q3, Q4",SOT-23,2,MMSS8050-H-TP,MMSS8050-H-TP
"Q8, Q9",SOT-23,2,SI2347DS-T1-GE3,SI2347DS-T1-GE3
"R1, R37, R87",0603,3,12K,RT0603FRE0712KL
"R10, R13, R14, R15, R16, R17, R19, R22, R23, R33, R35, R42, R7, R81, R9, R92",0603,16,10K,RC0603FR-0710KL
"R100, R20, R3, R31, R4, R64, R65, R83, R88, R89, R91, R99",0603,12,0,AC0603JR-070RL
"R11, R12, R43",0603,3,1K,RC0603FR-071KL
"R18, R21, R41",0603,3,10KΩ,RC0603FR-0710KL
R2,0603,1,49.9,TNPW020149R9BEED
"R24, R27, R29, R32",0603,4,20K,RK73B1JTTDD203J
"R25, R26, R28, R34, R48, R53, R54, R55, R56, R57, R58, R59, R60, R61, R62, R66, R67, R69, R70, R71, R72, R73, R74, R75, R76, R77, R78, R79, R80, R93, R94, R95",0603,32,100,RC0603FR-07100RL
R30,0603,1,4M99,AC0603FR-076M8L
R36,0603,1,36KΩ,RN73H1JTTD3602F50
R38,0603,1,51KΩ,RC0603FR-0751KL
R39,0603,1,100KΩ,RC0603FR-07100KL
"R40, R44, R45, R46, R49, R50, R51, R52, R82",0603,9,2KΩ,CR0603-FX-2001ELF
R47,0603,1,22K1,CR0603-FX-2212ELF
R5,0603,1,120,CR0603-FX-1200ELF
R63,0603,1,47K5,RT0603DRE0747K5L
R8,0603,1,43K,RC0603FR-0743KL
R86,0603,1,8.2KΩ,ERJ-3EKF8201V
SW1,SW_DIP_SPSTx04_Vertical_4_poles_P_2.54mm,1,SW_DIP_x04_Vertical,418217270904A
TH1,0603,1,NTC_10K,NTCG163JF103FT1
"TP18, TP7",TestPoint_Pad_D1.5mm,2,TestPoint_1.5mm,
U1,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm_ThermalVias,1,TPS54331DR,TPS54331DR
U10,UQFN-20-1EP_3x3mm_P0.4mm_EP1.85x1.85mm_ThermalVias,1,MCP3464T-E_NC,MCP3464T-E/NC
U11,SO-16_3.9x9.9mm_P1.27mm,1,ULN2004D1013TR,ULN2004D1013TR
U12,WSON-6-1EP_3x3mm_P0.95mm,1,LM2735X,LM2735XMFX/NOPB 
U13,SOIC-8_3.9x4.9mm_P1.27mm,1,REF5025AID,REF5025AID
U2,DFN-10-1EP_3x3mm_P0.5mm_EP1.65x2.38mm_ThermalVias,1,MCP73833-DFN,MCP73833-BZI/MF
U3,TO-252-2,1,BD33FC0FP-E2,BD33FC0FP-E2
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,SP3485EN-L/TR,SP3485EN-L/TR
U5,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,CP2102N-A02-GQFN24,CP2102N-A02-GQFN24
U6,ESP32-S3-WROOM,1,ESP32-S3-WROOM,
U7,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP7940N-I/SN,MCP7940N-I/SN
U8,DFN-4,1,SHT40-AD1B-R2,SHT40-AD1B-R2
U9,QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm,1,TLV9054,TLV9054SIRTER
Y1,Crystal_2pin_3.2mm_1.5mm,1,SC32S,SC32S-7PF20PPM
